mode,pop_n,pct_backfill,category,slice_name,horizon,n,missing_horizon,baseline_mean,baseline_median,slice_mean,slice_median,slice_stddev,delta_mean,status
ALL,5094,87.3,setup_type,C_PAIRED_SHORT,240,10,0,71.57,33.00,-3.63,47.25,239.38,-75.19,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_LONG,15,10,0,255.89,220.50,61.02,63.63,29.61,-194.87,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_LONG,30,10,0,251.41,214.75,76.60,70.38,38.86,-174.81,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_LONG,60,10,0,239.65,203.25,115.97,93.75,104.13,-123.68,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_LONG,120,10,0,200.20,175.25,83.45,66.38,54.34,-116.75,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAL_FADE_LONG,240,10,0,71.57,33.00,68.22,64.38,99.15,-3.34,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_SHORT,15,13,0,255.89,220.50,52.40,59.50,31.20,-203.49,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_SHORT,30,13,0,251.41,214.75,33.48,50.25,92.98,-217.93,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_SHORT,60,13,0,239.65,203.25,72.33,36.25,158.92,-167.33,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_SHORT,120,13,0,200.20,175.25,85.81,67.75,174.99,-114.39,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_SHORT,240,13,0,71.57,33.00,124.88,47.25,252.63,53.32,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_SHORT,15,3,0,255.89,220.50,17.17,-28.75,135.11,-238.73,INSUFFICIENT
