group,targetLevel,targetAtr,entryDate,month,type,ev,win,exitReason,pnlPts
3_GLOBEX,p75,0.42837560230017063,2026-03-19,2026-03,HIGH,315.16929594304383,1,TARGET,158.58464797152192
3_GLOBEX,p75,0.42837560230017063,2026-03-19,2026-03,HIGH,-112.30799999999726,0,STOP,-55.15399999999863
3_GLOBEX,p75,0.42837560230017063,2026-03-19,2026-03,HIGH,315.16929594304383,1,TARGET,158.58464797152192
3_GLOBEX,p75,0.42837560230017063,2026-03-20,2026-03,LOW,-217.11649999999645,0,STOP,-107.55824999999822
3_GLOBEX,p75,0.42837560230017063,2026-03-23,2026-03,HIGH,-239.23449999999866,0,STOP,-118.61724999999933
3_GLOBEX,p75,0.42837560230017063,2026-03-23,2026-03,HIGH,324.3044056621002,1,TARGET,163.1522028310501
3_GLOBEX,p75,0.42837560230017063,2026-03-23,2026-03,HIGH,324.3044056621002,1,TARGET,163.1522028310501
3_GLOBEX,p75,0.42837560230017063,2026-03-23,2026-03,HIGH,-232.73449999999866,0,STOP,-115.36724999999933
3_GLOBEX,p75,0.42837560230017063,2026-03-24,2026-03,LOW,-108.7534999999989,0,STOP,-53.37674999999945
3_GLOBEX,p75,0.42837560230017063,2026-03-24,2026-03,HIGH,324.7113624842823,1,TARGET,163.35568124214115
3_GLOBEX,p75,0.42837560230017063,2026-03-24,2026-03,LOW,-69.7534999999989,0,STOP,-33.87674999999945
3_GLOBEX,p75,0.42837560230017063,2026-03-24,2026-03,LOW,324.7113624842823,1,TARGET,163.35568124214115
3_GLOBEX,p75,0.42837560230017063,2026-03-25,2026-03,HIGH,319.0139669736891,1,TARGET,160.50698348684455
3_GLOBEX,p75,0.42837560230017063,2026-03-25,2026-03,LOW,-150.9875000000029,0,STOP,-74.49375000000146
3_GLOBEX,p75,0.42837560230017063,2026-03-26,2026-03,HIGH,319.00325758363033,1,TARGET,160.50162879181516
3_GLOBEX,p75,0.42837560230017063,2026-03-26,2026-03,LOW,-126.98700000000099,0,STOP,-62.493500000000495
3_GLOBEX,p75,0.42837560230017063,2026-03-26,2026-03,HIGH,319.00325758363033,1,TARGET,160.50162879181516
3_GLOBEX,p75,0.42837560230017063,2026-03-30,2026-03,HIGH,-92.74199999999837,0,STOP,-45.370999999999185
3_GLOBEX,p75,0.42837560230017063,2026-03-30,2026-03,LOW,-120.74199999999837,0,STOP,-59.370999999999185
3_GLOBEX,p75,0.42837560230017063,2026-03-30,2026-03,LOW,-119.74199999999837,0,STOP,-58.870999999999185
3_GLOBEX,p75,0.42837560230017063,2026-03-31,2026-03,LOW,325.22541320704477,1,TARGET,163.61270660352238
3_GLOBEX,p75,0.42837560230017063,2026-03-31,2026-03,LOW,325.22541320704477,1,TARGET,163.61270660352238
3_GLOBEX,p75,0.42837560230017063,2026-03-31,2026-03,HIGH,-61.27749999999651,0,STOP,-29.638749999998254
